Date,Amount
5/3/2016,905269.0
7/9/2016,183892.36000000004
2015-11-03,345249.88999999984
2015-12-17,902973.2400000005
5/4/2016,2906759.889999999
6/22/2016,1750928.0200000007
2015-12-22,3991518.4999999935
9/1/2016,271122.29000000027
5/11/2016,1367377.0300000003
2015-11-19,821590.0599999999
5/23/2016,850207.67
6/14/2016,673613.3099999998
7/26/2016,175831.53999999986
2015-12-16,6286097.380000008
2/22/2016,477346.8899999998
8/11/2016,109614.58999999995
2/10/2016,1704200.5599999996
1/26/2016,321311.3700000001
1/8/2016,7893320.089999998
5/25/2016,1872801.8199999991
9/23/2016,184952.84000000003
8/20/2016,108870.16000000002
6/9/2016,693125.5699999997
4/16/2016,141931.2099999999
5/12/2016,2755909.4199999985
7/2/2016,170187.17999999996
1/14/2016,1302898.4100000008
9/15/2016,477008.7200000001
2015-10-12,4949883.159999998
5/19/2016,1101452.3400000012
8/12/2016,140132.77000000008
2015-10-17,135129.6099999999
6/17/2016,1591540.8499999994
2015-11-04,1215196.55
2015-11-05,1836245.6100000006
9/10/2016,240925.34000000005
7/25/2016,6434.280000000001
2/20/2016,150069.77000000016
6/2/2016,467829.98
2/6/2016,127143.33000000003
1/29/2016,25423530.62000011
6/27/2016,969977.2700000004
9/27/2016,209821.13999999998
5/17/2016,749572.5500000002
2/8/2016,3935939.7699999986
7/28/2016,112060.10000000002
5/24/2016,1903743.6
2015-11-26,81751.36
2015-12-09,2266105.0799999987
2015-10-13,1769825.4299999997
2015-10-30,29485711.330000196
8/16/2016,451950.87
2/16/2016,2208172.3700000006
2/12/2016,5032177.299999996
2/17/2016,1425720.5900000008
9/19/2016,621.0
9/7/2016,485067.33000000025
2015-10-08,806701.6399999999
8/19/2016,4092404.3599999826
9/16/2016,3897267.0199999837
1/27/2016,4417825.259999995
2/2/2016,847320.16
3/28/2016,801316.2200000004
6/11/2016,267497.4499999999
5/18/2016,4709437.04
3/4/2016,5543097.8399999505
7/6/2016,353172.68000000005
2015-11-18,3036335.160000003
4/26/2016,2190995.9899999998
2015-12-08,1607363.8499999996
4/12/2016,601356.9700000001
2015-11-25,7560985.920000014
8/18/2016,202717.9800000001
